city,mean_numeric_score,std_numeric_score,tracts,mean_vacancy_rate
San Jose,7.72,0.695715531307526,200,0.05279653684255604
San Diego,7.18,0.9861350371819207,200,0.07884570433778604
Chicago,7.05,1.0012554932753537,200,0.08906217857033782
Los Angeles,6.98,1.0023088922971244,200,0.06258009089522976
Dallas,6.92,0.9992962347693098,200,0.07821767004730953
Houston,6.84,0.9895940998268232,200,0.08454274765493372
Phoenix,6.82,0.9861350371819209,200,0.07814136288382095
San Antonio,6.69,0.9531223484187517,200,0.08233446373830203
New York,6.6,0.9188150551267859,200,0.07853779861012197
Philadelphia,6.5,0.8681986202598494,200,0.10017940054030212
